Title; death_cause; Occupation; Death_Year; Birth_Year; Death_Place
A.V._Macan​​​​;Myocardial infarction​​​​;['A.V._Macan__1', 'A.V._Macan__2', 'Lawyer', 'Golf course']​​​​;1964​​​​;1882​​​​;Sequim Washington​​​​
A._Bartlett_Giamatti​​​​;Myocardial infarction​​​​;['Yale University', 'Major League Baseball', 'National League', 'A._Bartlett_Giamatti__1', 'A._Bartlett_Giamatti__2', 'A._Bartlett_Giamatti__3']​​​​;1989​​​​;1938​​​​;['Oak Bluffs Massachusetts', 'Massachusetts']​​​​
A._C._Baantjer​​​​;Esophageal cancer​​​​;['A._C._Baantjer__1', 'A._C._Baantjer__2', 'Author', 'Police officer']​​​​;2010​​​​;1923​​​​;['Netherlands', 'Alkmaar']​​​​
A._J._Liebling​​​​;Pneumonia​​​​;['A._J._Liebling__1', 'Journalist']​​​​;1963​​​​;1904​​​​;New York City​​​​
A._K._Hangal​​​​;Respiratory disease​​​​;['A._K._Hangal__1', 'Actor']​​​​;2012​​​​;1914​​​​;['India', 'Mumbai', 'Maharashtra']​​​​
A._Kenneth_Pye​​​​;Cancer​​​​;['Southern Methodist University', 'A._Kenneth_Pye__2', 'A._Kenneth_Pye__3']​​​​;1994​​​​;1931​​​​;None​​​​
A._Roy_Knabenshue​​​​;Stroke​​​​;None​​​​;1960​​​​;1875​​​​;Temple City California​​​​
Amit_Jethwa​​​​;Assassination​​​​;None​​​​;2010​​​​;1975​​​​;Ahmedabad​​​​
Amit_Saigal​​​​;Drowning​​​​;['India', 'Rock music', 'Amit_Saigal__1']​​​​;2012​​​​;1965​​​​;['India', 'Goa']​​​​
Ammon_Hennacy​​​​;Myocardial infarction​​​​;None​​​​;1970​​​​;1893​​​​;['Utah', 'Salt Lake City']​​​​
Amos_Pinchot​​​​;Pneumonia​​​​;['Amos_Pinchot__1', 'Reformism']​​​​;1944​​​​;1873​​​​;['The Bronx', 'New York']​​​​
Amparo_Arozamena​​​​;Myocardial infarction​​​​;Amparo_Arozamena__1​​​​;2009​​​​;1916​​​​;['Mexico City', 'Mexico']​​​​
Amrish_Puri​​​​;['Myelodysplastic syndrome', 'Stroke']​​​​;Amrish_Puri__1​​​​;2005​​​​;1932​​​​;['India', 'Mumbai', 'Maharashtra']​​​​
Amy_Biehl​​​​;['Stoning', 'Stabbing']​​​​;['Amy_Biehl__1', 'Scholarly method']​​​​;1993​​​​;1967​​​​;['Western Cape', 'Gugulethu', 'South Africa']​​​​
Amy_Elizabeth_du_Pont​​​​;Stroke​​​​;Amy_Elizabeth_du_Pont__1​​​​;1962​​​​;1875​​​​;['Montecito California', 'United States']​​​​
Amy_Mihaljevic​​​​;Homicide​​​​;Amy_Mihaljevic__1​​​​;None​​​​;1978​​​​;['Ohio', 'Bay Village Ohio']​​​​
Amy_Robsart​​​​;Cervical fracture​​​​;None​​​​;1560​​​​;1532​​​​;['Oxfordshire', 'Cumnor']​​​​
Amy_Winehouse​​​​;Alcohol intoxication​​​​;['Amy_Winehouse__2', 'Amy_Winehouse__3']​​​​;2011​​​​;1983​​​​;Camden Town​​​​
Anatoli_Boukreev​​​​;Avalanche​​​​;Anatoli_Boukreev__1​​​​;1997​​​​;1958​​​​;['Nepal', 'Annapurna']​​​​
Andrea_Dworkin​​​​;Myocarditis​​​​;Andrea_Dworkin__1​​​​;2005​​​​;1946​​​​;Washington D.C.​​​​
Andrea_Heinemann_Simon​​​​;Lung cancer​​​​;['Andrea_Heinemann_Simon__1', 'Andrea_Heinemann_Simon__2']​​​​;1994​​​​;1909​​​​;Riverdale Bronx​​​​
Andreas_Bronislaw_Wadeksloff_Nielsen​​​​;Execution by firing squad​​​​;Andreas_Bronislaw_Wadeksloff_Nielsen__1​​​​;1945​​​​;1918​​​​;Denmark​​​​
Andreas_Liveras​​​​;2008 Mumbai attacks​​​​;None​​​​;2008​​​​;1935​​​​;['India', 'Mumbai']​​​​
Andrew_Arbuckle_(actor)​​​​;Myocardial infarction​​​​;None​​​​;1938​​​​;1887​​​​;['California', 'Los Angeles']​​​​
